"filename", "language", "CSV", "Ini", "C++", "C", "Markdown", "Makefile", "comment", "blank", "total"
"/home/zyy/桌面/gncdb_shell/README.md", "Markdown", 0, 0, 0, 0, 69, 0, 0, 26, 95
"/home/zyy/桌面/gncdb_shell/a.c", "C", 0, 0, 0, 62, 0, 0, 13, 15, 90
"/home/zyy/桌面/gncdb_shell/a.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/zyy/桌面/gncdb_shell/callback.c", "C", 0, 0, 0, 207, 0, 0, 23, 25, 255
"/home/zyy/桌面/gncdb_shell/config.ini", "Ini", 0, 10, 0, 0, 0, 0, 0, 0, 10
"/home/zyy/桌面/gncdb_shell/main.c", "C", 0, 0, 0, 53, 0, 0, 40, 15, 108
"/home/zyy/桌面/gncdb_shell/makefile", "Makefile", 0, 0, 0, 0, 0, 15, 7, 8, 30
"/home/zyy/桌面/gncdb_shell/output.csv", "CSV", 11, 0, 0, 0, 0, 0, 0, 1, 12
"/home/zyy/桌面/gncdb_shell/src/callback.c", "C", 0, 0, 0, 271, 0, 0, 27, 33, 331
"/home/zyy/桌面/gncdb_shell/src/callback.h", "C++", 0, 0, 10, 0, 0, 0, 1, 2, 13
"/home/zyy/桌面/gncdb_shell/src/help.c", "C", 0, 0, 0, 277, 0, 0, 2, 35, 314
"/home/zyy/桌面/gncdb_shell/src/help.h", "C++", 0, 0, 4, 0, 0, 0, 1, 1, 6
"/home/zyy/桌面/gncdb_shell/src/main.c", "C", 0, 0, 0, 367, 0, 0, 51, 37, 455
"/home/zyy/桌面/gncdb_shell/src/util.h", "C++", 0, 0, 7, 0, 0, 0, 1, 1, 9
"/home/zyy/桌面/gncdb_shell/src/utils.c", "C", 0, 0, 0, 700, 0, 0, 100, 74, 874
"/home/zyy/桌面/gncdb_shell/utils.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 11, 10, 21, 1937, 69, 15, 266, 275, 2604
